NameB,NameE,Name春,Name夏,Name秋,Name冬,Unnamed: 6,NameA春,Unnamed: 8,NameA夏,Unnamed: 10,NameA秋,Unnamed: 12,NameA冬,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
宋,佳,林,涵,宇,梅,,姜宇乔,汪芷苓,齐芊荷,温焱研,薛鸿炎,宋函珏,耿悦冬,韦夏咏,
唐,思,龙,洋,辉,东,,章梓莺,苗菡翠,沈淇汐,孟蓓蓉,俞淼果,舒亿菊,俞聪梅,郝思坚,
许,嘉,英,泽,荣,慧,,薛韶燕,卢轩雯,顾楚夏,曾峻玫,武歆娇,汪翼宇,唐忻咏,凌姗咏,
韩,雨,芳,浩,萍,琴,,郝钊蒙,袁泓宸,吕娅川,韦城湘,叶苑晔,易凌耀,沈芯柏,俞希坤,
曾,泽,红,源,兰,雪,,程朗晴,温琦姝,姚致瀚,严盈河,岳雅煌,范芮宇,陆涵琴,郝诗坤,
彭,宇,阳,江,霞,坤,,梅紫樱,彭泽琳,鲁雯潞,夏菲鹤,武琳桦,范姿耀,戴蕙咏,曾澜栋,
潘,梦,宁,莲,月,松,,彭琰英,夏亦龙,魏霖乾,易沛乾,姚栩煌,欧峻爽,吕羽东,付珈易,
董,雅,清,蓉,香,冰,,苏星钰,韦芷棠,耿栩潞,柳珈淞,戴致旻,兰菡菊,俞楷坤,鲁璐凌,
袁,欣,琳,风,琪,寒,,戴霖蒙,黎梦姝,耿祺薇,章昱江,章盈希,柳钰希,舒梦坚,程恒松,
叶,梓,涛,薇,翔,栋,,潘芯莹,付莹虎,武佳淼,舒滢淋,梅誉定,苗滢丰,郝苑素,卢茹东,
杜,浩,燕,茜,芬,冬,,苏朗蕾,欧博蕊,袁梓陆,鲁轩沛,薛诗翔,叶峻影,苗姝银,施亿慧, 
苏,若,春,泉,羽,银,,袁轩遥,韩筠萌,苗娅虹,柳啸泳,吕沛霜,严羿禾,章彤坤,舒昊白,
魏,紫,青,川,晨,凌,,吕芸菁,潘灵宸,陆翔茜,陶畅芙,秦俐葵,邱希谷,叶含东,施沛坚,
程,彦,艳,虹,秋,坚,,郝玄芳,温朗钰,钟畅漪,姚韵漪,俞泽灵,贺晟壮,夏添冰,袁沁东,
吕,艺,铭,昊,星,素,,秦琦鹃,沈蕊苓,薛芊淇,杜弘洪,袁沐申,汪泽庆,兰溪寒,严湘梅,
沈,诗,雨,扬,琼,咏,,祝滢庚,程颖苇,邱渝韬,易键川,邱彦炳,韦俞荣,章翼玄,温淼严,
姚,可,菲,洪,旭,柏,,舒筠雷,付腾宁,韦谦湘,苏玫扬,范泽迅,陆晋耘,吕皓银,吕姿坚,
卢,晨,新,淇,希,易,,颜孜辰,兰瑾蓝,袁靖沛,付诺淼,武珈桐,凌珈琪,彭娅咏,乔颜东,
钟,怡,雯,彦,芸,白,,汪聪震,欧恺森,卢芮潞,曾洋鹤,常竞琪,苏茜照,夏婷梅,严仪银,
姜,钰,元,菡,灵,玄,,梅夏翠,宋瑜柳,顾曼泳,夏婷洪,尹柳霜,夏星鹰,韩夏冰,舒聪寒,
范,铭,楠,水,庆,严,,,,,,,,,,
汪,博,莹,淼,菊,,,,,,,,,,,
