NameB,NameD,NameE,NameF,Unnamed: 4,NameA(2字),Unnamed: 6,Unnamed: 7,NameA(3字),Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
宋,洋,佳,宇,,武希,许隆,贺湘,顾榆翰,夏沂淼,俞展晔,颜沐遥,沈煜帆,叶玮桦,梅琦琨
唐,浩,嘉,轩,,唐宇,薛霄,程谦,程竞钊,凌洛夏,曾晨哲,乔源意,顾隽灿,岳希晨,柳骏翔
许,宇,雨,佳,,常峻,欧晟,柳希,夏栩恒,尹优楚,兰如炫,柯羽杭,苗昶帆,施灵卓,夏烨朗
韩,博,泽,欣,,许钊,薛炫,耿彦,柳冠骞,尹艺澄,耿隽渊,汪茗榆,邱畅腾,陆朗琦,戴竣翼
曾,晨,宇,涵,,叶亿,杜柯,俞然,章鸣烁,施雨致,魏易熙,袁杭晟,苗灵灵,俞程钊,吕鸿奕
彭,翔,欣,铭,,乔展,温渝,严溪,颜恺渝,韦烁歌,韩鸣杭,戴茗畅,汪隽嘉,程炯星,邱昀煌
潘,雨,梓,然,,魏晨,顾展,尹琨,严屹齐,岳泊渊,钟雨晔,常楷涵,梅凌竣,顾晨鸣,范博骏
董,琦,浩,雨,,岳熙,戴捷,武琨,姚森鸿,齐韶策,乔彤杭,魏灿驰,吕楚锟,俞翼睿,姜泽卓
袁,星,若,琪,,夏可,韦斐,宋可,孟玄钧,常晏炫,温汇然,舒格逸,易溢涵,宋晏淼,孟键玺
叶,帆,彦,洋,,郝聪,唐炜,柯韬,梅若晋,武煜帆,易烨屹,欧致晟,苗泓捷,戴忻灿,钟梁汐
杜,聪,艺,泽,,施晔,董铭,潘晖,汪源凌,祝若钊,秦霖洛,柳源程,姚淼辰,贺灏湘,易翊捷
苏,哲,诗,浩,,许驰,舒靖,顾珂,武星笛,岳腾炫,黎彤楚,陆鉴纬,韦榆严,欧琛潇,祝昶禾
魏,昊,可,博,,陶晖,袁楷,乔煜,严然翼,章霖豪,苏隆优,耿哲汶,邱汇琦,程卓沂,俞洛佳
程,锐,晨,琦,,柯研,梅航,凌煌,薛昶灵,彭意孜,陆希澜,钟喻予,凌鼎骞,杜哲焱,梅熠旻
吕,扬,钰,翔,,姜可,施昀,乔禹,吕恺鸿,袁晔洛,舒蔚潇,陶楷烽,鲁谦榆,姚如湘,柯翔棋
沈,睿,铭,嘉,,夏卓,韩鸣,施若,尹翼棋,齐聪彦,梅艺焱,苏霄奕,邱铠诚,鲁愉溢,严骁扬
姚,玮,博,源,,尹熠,郝昀,夏煌,施溪卓,杜彦烽,温添靖,颜溪欣,付骁珩,舒潇雨,韦烨钊
卢,然,希,豪,,戴羽,秦韬,邱峻,郝唯贺,孟鸿童,叶意枫,易铠恒,郝沛铮,曾鸿桦,戴澄津
钟,航,星,羽,,鲁昀,苏棋,祝熙,陆畅蔚,施航烨,许森捷,薛泊汐,陶溪澄,苗喻旋,戴锐霖
姜,源,奕,晨,,汪畅,姜淇,齐贺,祝浩楚,郝熙扬,齐铭蒙,贺琪希,杜霖森,孟浩韬,姜尉骞
范,越,羽,哲,,,,,,,,,,,
汪,枫,鸿,霖,,,,,,,,,,,
陆,恒,睿,睿,,,,,,,,,,,
戴,畅,亦,星,,,,,,,,,,,
韦,森,如,辰,,,,,,,,,,,
夏,淼,哲,希,,,,,,,,,,,
邱,炜,靖,彤,,,,,,,,,,,
孟,靖,熙,聪,,,,,,,,,,,
秦,程,楚,灵,,,,,,,,,,,
