NCID,NameC,NameE,NameF,Pinyin,PYA,Strokes,Description,ICF2,IDF2,TF2,MAX2,Boy,Girl,ScoreC,ScoreMax,ScoreAvg,ScoreMin,ScoreStd,IsFree
625,新宇,新,宇,Xin Yu,XY,19,诗词，六合开新宇。,633,3497,77596,7775,0.8458,0.1542,83,96,88,78,4.9089,101
679,翔宇,翔,宇,Xiang Yu,XY,18,诗词，翱翔宇宙间。,600,3052,72457,5371,0.8861,0.1139,82,96,86,79,4.4573,101
632,一帆,一,帆,Yi Fan,YF,7,成语，一帆风顺。,626,3019,77797,11240,0.6438,0.3562,78,96,87,77,4.6905,101
715,思远,思,远,Si Yuan,SY,16,诗词，所思在远道。,618,2944,69257,4874,0.836,0.164,80,96,86,78,4.9923,101
800,思源,思,源,Si Yuan,SY,22,成语，饮水思源。,587,2734,62579,4923,0.7296,0.2704,81,96,86,78,5.2626,100
883,泽宇,泽,宇,Ze Yu,ZY,14,诗词，泽被万宇。,605,2693,57913,5151,0.9194,0.0806,83,96,87,79,5.2276,101
1121,晨阳,晨,阳,Chen Yang,CY,17,诗词，晨沐晞朝阳。,599,2670,46167,4079,0.7161,0.2839,81,96,84,77,5.1995,101
1103,宇翔,宇,翔,Yu Xiang,YX,18,诗词，喜气眉宇翔。,568,2652,46867,3117,0.9311,0.0689,82,96,87,79,4.9461,101
733,思宇,思,宇,Si Yu,SY,15,诗词，长思宇宙间。,615,2635,67496,10857,0.6427,0.3573,83,96,88,79,5.0711,101
1337,文轩,文,轩,Wen Xuan,WX,11,诗词，秋高北斗驻文轩。,594,2559,38487,2762,0.7667,0.2333,81,96,87,78,5.2748,101
873,子轩,子,轩,Zi Xuan,ZX,10,诗词，青云子轩昂。,641,2477,58503,5036,0.8574,0.1426,81,96,88,78,5.0373,101
1606,文韬,文,韬,Wen Tao,WT,18,成语，文韬武略。,500,2334,32453,1900,0.9043,0.0957,79,96,86,79,4.1819,101
916,雨轩,雨,轩,Yu Xuan,YX,15,诗词，晚雨轩窗润。,671,2284,55766,5847,0.5479,0.4521,82,96,84,75,5.3619,101
1873,文宇,文,宇,Wen Yu,WY,10,诗词，文宇孕祥烟。,530,2274,28137,2067,0.7634,0.2366,83,96,89,80,4.987,100
1690,致远,致,远,Zhi Yuan,ZY,17,成语，宁静致远。,519,2182,31011,1932,0.963,0.037,80,96,83,75,4.1227,101
2088,天翔,天,翔,Tian Xiang,TX,16,诗词，心随归雁海天翔。,511,2104,25517,1648,0.9609,0.0391,81,95,84,75,5.198,101
1712,嘉文,嘉,文,Jia Wen,JW,18,诗词，嘉名寄文章。,475,2052,30780,2519,0.7212,0.2788,83,96,89,78,5.2069,101
1532,浩天,浩,天,Hao Tian,HT,14,诗词，浩浩天地内。,554,2048,33958,2170,0.9671,0.0329,78,96,85,78,4.7364,101
1920,佳俊,佳,俊,Jia Jun,JJ,17,诗词，同行佳友得豪俊。,497,2036,27515,2074,0.6826,0.3174,83,96,88,79,4.9176,10
2128,逸飞,逸,飞,Yi Fei,YF,14,诗词，逸兴逐云飞。,508,2009,25152,2035,0.7572,0.2428,82,96,88,79,4.6484,101
2035,佳文,佳,文,Jia Wen,JW,12,诗词，好山如佳文。,503,1997,26165,1876,0.5544,0.4456,83,96,88,76,5.2826,101
2339,靖宇,靖,宇,Jing Yu,JY,19,诗词，汉皇靖宇内。,441,1984,23013,2041,0.7436,0.2564,83,96,88,79,4.7696,101
